"FDT_STA_ID","STA_LV3_CODE","STA_LV1_CODE","STA_REC_CODE","Deq_Region","STA_DESC","FDT_SSC_CODE","FDT_SPG_CODE","FDT_DATE_TIME","FDT_DEPTH","FDT_DEPTH_DESC","FDT_PERCENT_FRB","FDT_COMMENT","FDT_TEMP_CELCIUS","FDT_TEMP_CELCIUS_RMK","FDT_FIELD_PH","FDT_FIELD_PH_RMK","DO","DO_RMK","FDT_SPECIFIC_CONDUCTANCE","FDT_SPECIFIC_CONDUCTANCE_RMK","FDT_SALINITY","FDT_SALINITY_RMK","NITROGEN","RMK_00600","AMMONIA","RMK_AMMONIA","NH3_DISS","RMK_00608","NH3_TOTAL","RMK_00610","PHOSPHORUS","RMK_00665","FECAL_COLI","RMK_31616","E.COLI","RMK_ECOLI","ENTEROCOCCI","RMK_31649","CHLOROPHYLL","RMK_32211","SSC","SSC_RMK","NITRATE","RMK_00620","CHLORIDE","RMK_00940","SULFATE_TOTAL","RMK_00945","SULFATE_DISS","RMK_00946","STA_LV2_CODE","Latitude","Longitude","Majorbasincode","Majorbasinname","Basin","Subbasin","Huc6_Huc_8","Huc6_Huc_8_Name","Huc6_Name","Huc6_Huc_12","Huc6_Huc_12_Name","Huc6_Vahu5","Huc6_Vahu6","STA_CBP_NAME","FDT_DATE_TIME2"
"1AABR000.78","AWTSHD","STREAM","VRO","Valley","Rt. 659 Bridge",55174,"IM","2/23/2011 11:45",0.3,"S",50,NA,5.1,NA,8.1,NA,13.8,NA,1254,NA,0.104811685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,"U",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMBNT",39.17916667,-78.08611111,2,"Mid Atlantic","Shenandoah River Basin","CONOCOCHEAGUE-OPEQUON",2070004,"Conococheague Opequon","Abrams Creek",20700040902,"Abrams Creek","PU-G","PU17",NA,"2/23/2011 11:45"
"1AABR000.78","AWTSHD","STREAM","VRO","Valley","Rt. 659 Bridge",55174,"IM","4/19/2011 11:45",0.3,"S",50,NA,12.5,NA,8.1,NA,10.7,NA,728,NA,0.054603523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMBNT",39.17916667,-78.08611111,2,"Mid Atlantic","Shenandoah River Basin","CONOCOCHEAGUE-OPEQUON",2070004,"Conococheague Opequon","Abrams Creek",20700040902,"Abrams Creek","PU-G","PU17",NA,"4/19/2011 11:45"
"1AABR000.78","AWTSHD","STREAM","VRO","Valley","Rt. 659 Bridge",55174,"IM","6/21/2011 11:45",0.3,"S",50,NA,21,NA,8.2,NA,9.6,NA,684,NA,0.048883551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375,NA,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMBNT",39.17916667,-78.08611111,2,"Mid Atlantic","Shenandoah River Basin","CONOCOCHEAGUE-OPEQUON",2070004,"Conococheague Opequon","Abrams Creek",20700040902,"Abrams Creek","PU-G","PU17",NA,"6/21/2011 11:45"
"1AABR000.78","AWTSHD","STREAM","VRO","Valley","Rt. 659 Bridge",55174,"IM","8/10/2011 11:40",0.3,"S",50,NA,23.1,NA,8.1,NA,10.4,NA,668,NA,0.047097829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMBNT",39.17916667,-78.08611111,2,"Mid Atlantic","Shenandoah River Basin","CONOCOCHEAGUE-OPEQUON",2070004,"Conococheague Opequon","Abrams Creek",20700040902,"Abrams Creek","PU-G","PU17",NA,"8/10/2011 11:40"
"1AABR000.78","AWTSHD","STREAM","VRO","Valley","Rt. 659 Bridge",55174,"IM","10/25/2011 12:00",0.3,"S",50,NA,12,NA,8.2,NA,12.2,NA,719,NA,0.053952718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMBNT",39.17916667,-78.08611111,2,"Mid Atlantic","Shenandoah River Basin","CONOCOCHEAGUE-OPEQUON",2070004,"Conococheague Opequon","Abrams Creek",20700040902,"Abrams Creek","PU-G","PU17",NA,"10/25/2011 12:00"
"1AABR000.78","AWTSHD","STREAM","VRO","Valley","Rt. 659 Bridge",55174,"IM","12/27/2011 11:25",0.3,"S",50,NA,6.73,NA,8.24,NA,12.53,NA,715,NA,0.054938007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMBNT",39.17916667,-78.08611111,2,"Mid Atlantic","Shenandoah River Basin","CONOCOCHEAGUE-OPEQUON",2070004,"Conococheague Opequon","Abrams Creek",20700040902,"Abrams Creek","PU-G","PU17",NA,"12/27/2011 11:25"
"1AABR000.78","AWTSHD","STREAM","VRO","Valley","Rt. 659 Bridge",55174,"IM","1/31/2012 13:00",0.3,"S",50,"YSI LOST CONNECTION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,"U",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMBNT",39.17916667,-78.08611111,2,"Mid Atlantic","Shenandoah River Basin","CONOCOCHEAGUE-OPEQUON",2070004,"Conococheague Opequon","Abrams Creek",20700040902,"Abrams Creek","PU-G","PU17",NA,"1/31/2012 13:00"
"1AABR000.78","AWTSHD","STREAM","VRO","Valley","Rt. 659 Bridge",55174,"IM","3/15/2012 11:50",0.3,"S",50,NA,14.09,NA,8.5,NA,14.24,NA,683,NA,0.050369986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,"U",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMBNT",39.17916667,-78.08611111,2,"Mid Atlantic","Shenandoah River Basin","CONOCOCHEAGUE-OPEQUON",2070004,"Conococheague Opequon","Abrams Creek",20700040902,"Abrams Creek","PU-G","PU17",NA,"3/15/2012 11:50"
"1AABR000.78","AWTSHD","STREAM","VRO","Valley","Rt. 659 Bridge",55174,"IM","6/20/2012 11:10",0.3,"S",50,NA,22.83,NA,8.41,NA,10.48,NA,663,NA,0.04673922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMBNT",39.17916667,-78.08611111,2,"Mid Atlantic","Shenandoah River Basin","CONOCOCHEAGUE-OPEQUON",2070004,"Conococheague Opequon","Abrams Creek",20700040902,"Abrams Creek","PU-G","PU17",NA,"6/20/2012 11:10"
"1AABR000.78","AWTSHD","STREAM","VRO","Valley","Rt. 659 Bridge",55174,"IM","8/22/2012 11:50",0.3,"S",50,NA,20.14,NA,8.31,NA,10.67,NA,664,NA,0.04739794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMBNT",39.17916667,-78.08611111,2,"Mid Atlantic","Shenandoah River Basin","CONOCOCHEAGUE-OPEQUON",2070004,"Conococheague Opequon","Abrams Creek",20700040902,"Abrams Creek","PU-G","PU17",NA,"8/22/2012 11:50"
"1AABR000.78","AWTSHD","STREAM","VRO","Valley","Rt. 659 Bridge",55174,"IM","10/16/2012 12:20",0.3,"S",50,NA,13.57,NA,8.39,NA,13.21,NA,686,NA,0.050748201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMBNT",39.17916667,-78.08611111,2,"Mid Atlantic","Shenandoah River Basin","CONOCOCHEAGUE-OPEQUON",2070004,"Conococheague Opequon","Abrams Creek",20700040902,"Abrams Creek","PU-G","PU17",NA,"10/16/2012 12:20"
"1AABR000.78","AWTSHD","STREAM","VRO","Valley","Rt. 659 Bridge",2,"RB","10/23/2012 14:30",0.3,"S",50,NA,15.39,NA,8.3,NA,12.37,NA,688,NA,0.050489273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMBNT",39.17916667,-78.08611111,2,"Mid Atlantic","Shenandoah River Basin","CONOCOCHEAGUE-OPEQUON",2070004,"Conococheague Opequon","Abrams Creek",20700040902,"Abrams Creek","PU-G","PU17",NA,"10/23/2012 14:30"
"1AABR000.78","AWTSHD","STREAM","VRO","Valley","Rt. 659 Bridge",55174,"IM","12/19/2012 12:10",0.3,"S",50,NA,8.1,NA,8.23,NA,14.49,NA,648,NA,0.048821406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMBNT",39.17916667,-78.08611111,2,"Mid Atlantic","Shenandoah River Basin","CONOCOCHEAGUE-OPEQUON",2070004,"Conococheague Opequon","Abrams Creek",20700040902,"Abrams Creek","PU-G","PU17",NA,"12/19/2012 12:10"
